awardYear,category,categoryFullName,dateAwarded,prizeAmount,prizeAmountAdjusted,linksHref,laureateID,laureateName,laureateSortOrder
1933,Physics,The Nobel Prize in Physics,1933-11-09,170332,6131952,https://api.nobelprize.org/2/nobelPrize/phy/1933,40,Paul A.M. Dirac,2
1933,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1933-10-20,170332,6131952,https://api.nobelprize.org/2/nobelPrize/med/1933,325,Thomas H. Morgan,1
1934,Chemistry,The Nobel Prize in Chemistry,1934-11-15,162608,5853888,https://api.nobelprize.org/2/nobelPrize/che/1934,192,Harold C. Urey,1
1934,Literature,The Nobel Prize in Literature,1934-11-08,162608,5853888,https://api.nobelprize.org/2/nobelPrize/lit/1934,607,Luigi Pirandello,1
1934,Peace,The Nobel Peace Prize,1934-12-10,162608,5853888,https://api.nobelprize.org/2/nobelPrize/pea/1934,499,Arthur Henderson,1
1934,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1934-10-25,162608,5853888,https://api.nobelprize.org/2/nobelPrize/med/1934,326,George H. Whipple,1
1934,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1934-10-25,162608,5853888,https://api.nobelprize.org/2/nobelPrize/med/1934,327,George R. Minot,2
1934,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1934-10-25,162608,5853888,https://api.nobelprize.org/2/nobelPrize/med/1934,328,William P. Murphy,3
1935,Chemistry,The Nobel Prize in Chemistry,1935-11-14,159917,5661062,https://api.nobelprize.org/2/nobelPrize/che/1935,193,Frédéric Joliot,1
1935,Chemistry,The Nobel Prize in Chemistry,1935-11-14,159917,5661062,https://api.nobelprize.org/2/nobelPrize/che/1935,194,Irène Joliot-Curie,2
1935,Peace,The Nobel Peace Prize,1936-11-24,159917,5661062,https://api.nobelprize.org/2/nobelPrize/pea/1935,500,Carl von Ossietzky,1
1935,Physics,The Nobel Prize in Physics,1935-11-14,159917,5661062,https://api.nobelprize.org/2/nobelPrize/phy/1935,41,James Chadwick,1
1935,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1935-10-24,159917,5661062,https://api.nobelprize.org/2/nobelPrize/med/1935,329,Hans Spemann,1
1936,Chemistry,The Nobel Prize in Chemistry,1936-11-12,159850,5565925,https://api.nobelprize.org/2/nobelPrize/che/1936,195,Peter Debye,1
1936,Literature,The Nobel Prize in Literature,1936-11-12,159850,5565925,https://api.nobelprize.org/2/nobelPrize/lit/1936,608,Eugene O'Neill,1
1936,Peace,The Nobel Peace Prize,1936-11-24,159850,5565925,https://api.nobelprize.org/2/nobelPrize/pea/1936,501,Carlos Saavedra Lamas,1
1936,Physics,The Nobel Prize in Physics,1936-11-12,159850,5565925,https://api.nobelprize.org/2/nobelPrize/phy/1936,42,Victor F. Hess,1
1936,Physics,The Nobel Prize in Physics,1936-11-12,159850,5565925,https://api.nobelprize.org/2/nobelPrize/phy/1936,43,Carl D. Anderson,2
1936,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1936-10-29,159850,5565925,https://api.nobelprize.org/2/nobelPrize/med/1936,330,Sir Henry Dale,1
1936,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1936-10-29,159850,5565925,https://api.nobelprize.org/2/nobelPrize/med/1936,331,Otto Loewi,2
1937,Chemistry,The Nobel Prize in Chemistry,1937-11-11,158463,5342467,https://api.nobelprize.org/2/nobelPrize/che/1937,196,Norman Haworth,1
1937,Chemistry,The Nobel Prize in Chemistry,1937-11-11,158463,5342467,https://api.nobelprize.org/2/nobelPrize/che/1937,197,Paul Karrer,2
1937,Literature,The Nobel Prize in Literature,1937-11-11,158463,5342467,https://api.nobelprize.org/2/nobelPrize/lit/1937,609,Roger Martin du Gard,1
1937,Peace,The Nobel Peace Prize,1937-11-18,158463,5342467,https://api.nobelprize.org/2/nobelPrize/pea/1937,502,"Robert Cecil, Viscount Cecil of Chelwood",1
1937,Physics,The Nobel Prize in Physics,1937-11-11,158463,5342467,https://api.nobelprize.org/2/nobelPrize/phy/1937,44,Clinton Davisson,1
1937,Physics,The Nobel Prize in Physics,1937-11-11,158463,5342467,https://api.nobelprize.org/2/nobelPrize/phy/1937,45,George Paget Thomson,2
1937,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1937-10-28,158463,5342467,https://api.nobelprize.org/2/nobelPrize/med/1937,332,Albert Szent-Györgyi,1
1938,Chemistry,The Nobel Prize in Chemistry,1939-11-09,155077,5146618,https://api.nobelprize.org/2/nobelPrize/che/1938,198,Richard Kuhn,1
1938,Literature,The Nobel Prize in Literature,1938-11-10,155077,5146618,https://api.nobelprize.org/2/nobelPrize/lit/1938,610,Pearl Buck,1
1938,Peace,The Nobel Peace Prize,1938-11-17,155077,5146618,https://api.nobelprize.org/2/nobelPrize/pea/1938,503,,1
1938,Physics,The Nobel Prize in Physics,1938-11-10,155077,5146618,https://api.nobelprize.org/2/nobelPrize/phy/1938,46,Enrico Fermi,1
1938,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1939-10-26,155077,5146618,https://api.nobelprize.org/2/nobelPrize/med/1938,333,Corneille Heymans,1
1939,Chemistry,The Nobel Prize in Chemistry,1939-11-09,148822,4789363,https://api.nobelprize.org/2/nobelPrize/che/1939,199,Adolf Butenandt,1
1939,Chemistry,The Nobel Prize in Chemistry,1939-11-09,148822,4789363,https://api.nobelprize.org/2/nobelPrize/che/1939,200,Leopold Ruzicka,2
1939,Literature,The Nobel Prize in Literature,1939-11-10,148822,4789363,https://api.nobelprize.org/2/nobelPrize/lit/1939,613,Frans Eemil Sillanpää,1
1939,Physics,The Nobel Prize in Physics,1939-11-09,148822,4789363,https://api.nobelprize.org/2/nobelPrize/phy/1939,47,Ernest Lawrence,1
1939,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1939-10-26,148822,4789363,https://api.nobelprize.org/2/nobelPrize/med/1939,334,Gerhard Domagk,1
1943,Chemistry,The Nobel Prize in Chemistry,1944-11-09,123691,2855649,https://api.nobelprize.org/2/nobelPrize/che/1943,201,George de Hevesy,1
1943,Physics,The Nobel Prize in Physics,1944-11-09,123691,2855649,https://api.nobelprize.org/2/nobelPrize/phy/1943,48,Otto Stern,1
1943,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1944-10-26,123691,2855649,https://api.nobelprize.org/2/nobelPrize/med/1943,335,Henrik Dam,1
1943,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1944-10-26,123691,2855649,https://api.nobelprize.org/2/nobelPrize/med/1943,336,Edward A. Doisy,2
1944,Chemistry,The Nobel Prize in Chemistry,1945-11-15,121841,2843849,https://api.nobelprize.org/2/nobelPrize/che/1944,202,Otto Hahn,1
